"","feat_ID","variable","spat_cor","expr_cor","cordiff","spatrank","exprrank","rankdiff","clus"
"112","Lmnb1","Lmnb1",1,1,0,1,1,0,3
"113","Lrp5","Lrp5",1,1,0,1,1,0,2
"114","Lrrc23","Lrrc23",1,1,0,1,1,0,1
"115","Ltbp2","Ltbp2",1,1,0,1,1,0,5
"116","Lum","Lum",1,1,0,1,1,0,5
"117","Mapk13","Mapk13",1,1,0,1,1,0,3
"118","Mfap2","Mfap2",1,1,0,1,1,0,5
"119","Mgp","Mgp",1,1,0,1,1,0,2
"120","Mki67","Mki67",1,1,0,1,1,0,3
"121","Mmp13","Mmp13",1,1,0,1,1,0,3
"122","Mmp15","Mmp15",1,1,0,1,1,0,3
"123","Mmp2","Mmp2",1,1,0,1,1,0,5
"124","Mmp9","Mmp9",1,1,0,1,1,0,2
"125","Mpz","Mpz",1,1,0,1,1,0,3
"126","Mrc1","Mrc1",1,1,0,1,1,0,2
"127","Msx1","Msx1",1,1,0,1,1,0,2
"128","Msx2","Msx2",1,1,0,1,1,0,2
"129","Mylk","Mylk",1,1,0,1,1,0,2
"130","Nasp","Nasp",1,1,0,1,1,0,3
"131","Ncam1","Ncam1",1,1,0,1,1,0,5
"132","Net1","Net1",1,1,0,1,1,0,3
"133","Nfatc1","Nfatc1",1,1,0,1,1,0,2
"134","Nos3","Nos3",1,1,0,1,1,0,6
"135","Notch1","Notch1",1,1,0,1,1,0,3
"136","Nrg1","Nrg1",1,1,0,1,1,0,3
"137","Ogn","Ogn",1,1,0,1,1,0,5
"138","Osr1","Osr1",1,1,0,1,1,0,2
"139","Palld","Palld",1,1,0,1,1,0,2
"140","Pax9","Pax9",1,1,0,1,1,0,2
"141","Pcna","Pcna",1,1,0,1,1,0,3
"142","Pdgfra","Pdgfra",1,1,0,1,1,0,5
"143","Pdpn","Pdpn",1,1,0,1,1,0,3
"144","Pecam1","Pecam1",1,1,0,1,1,0,6
"145","Phex","Phex",1,1,0,1,1,0,4
"146","Postn","Postn",1,1,0,1,1,0,5
"147","Prrx1","Prrx1",1,1,0,1,1,0,5
"148","Ptch1","Ptch1",1,1,0,1,1,0,2
"149","Ptch2","Ptch2",1,1,0,1,1,0,2
"150","Pth1r","Pth1r",1,1,0,1,1,0,4
"151","Pthlh","Pthlh",1,1,0,1,1,0,3
"152","Ptn","Ptn",1,1,0,1,1,0,5
"153","Ran","Ran",1,1,0,1,1,0,3
"154","Ranbp1","Ranbp1",1,1,0,1,1,0,3
"155","Rgcc","Rgcc",1,1,0,1,1,0,3
"156","Runx2","Runx2",1,1,0,1,1,0,2
"157","S100a6","S100a6",1,1,0,1,1,0,1
"158","Serpinf1","Serpinf1",1,1,0,1,1,0,5
"159","Serpinh1","Serpinh1",1,1,0,1,1,0,4
"160","Sfrp2","Sfrp2",1,1,0,1,1,0,5
"161","Shh","Shh",1,1,0,1,1,0,3
"162","Slit3","Slit3",1,1,0,1,1,0,2
"163","Smad2","Smad2",1,1,0,1,1,0,2
"164","Sntn","Sntn",1,1,0,1,1,0,1
"165","Sostdc1","Sostdc1",1,1,0,1,1,0,3
"166","Sox11","Sox11",1,1,0,1,1,0,3
"167","Sox5","Sox5",1,1,0,1,1,0,2
"168","Sox6","Sox6",1,1,0,1,1,0,2
"169","Sox9","Sox9",1,1,0,1,1,0,5
"170","Sp7","Sp7",1,1,0,1,1,0,4
"171","Sparc","Sparc",1,1,0,1,1,0,4
"172","Sparcl1","Sparcl1",1,1,0,1,1,0,6
"173","Tbx1","Tbx1",1,1,0,1,1,0,3
"174","Tbx15","Tbx15",1,1,0,1,1,0,2
"175","Tcf12","Tcf12",1,1,0,1,1,0,5
"176","Tek","Tek",1,1,0,1,1,0,6
"177","Tekt4","Tekt4",1,1,0,1,1,0,1
"178","Tfap2a","Tfap2a",1,1,0,1,1,0,3
"179","Tgfb1","Tgfb1",1,1,0,1,1,0,4
"180","Tgfb2","Tgfb2",1,1,0,1,1,0,2
"181","Tgfb3","Tgfb3",1,1,0,1,1,0,2
"182","Tgfbi","Tgfbi",1,1,0,1,1,0,2
"183","Tgfbr3","Tgfbr3",1,1,0,1,1,0,3
"184","Thbs1","Thbs1",1,1,0,1,1,0,5
"185","Timp2","Timp2",1,1,0,1,1,0,5
"186","Tnfrsf11a","Tnfrsf11a",1,1,0,1,1,0,3
"187","Tnn","Tnn",1,1,0,1,1,0,5
"188","Top2a","Top2a",1,1,0,1,1,0,3
"189","Trpm3","Trpm3",1,1,0,1,1,0,3
"190","Trps1","Trps1",1,1,0,1,1,0,3
"191","Tuba1b","Tuba1b",1,1,0,1,1,0,3
"192","Tubb3","Tubb3",1,1,0,1,1,0,2
"193","Unc5b","Unc5b",1,1,0,1,1,0,4
"194","Vcl","Vcl",1,1,0,1,1,0,3
"195","Vim","Vim",1,1,0,1,1,0,5
"196","Vwf","Vwf",1,1,0,1,1,0,6
"197","Wif1","Wif1",1,1,0,1,1,0,4
"198","Wnt16","Wnt16",1,1,0,1,1,0,3
"199","Wnt7b","Wnt7b",1,1,0,1,1,0,3
"200","Xbp1","Xbp1",1,1,0,1,1,0,4
