"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"Pcif1",0.00222032714840817,-1.0320270254061,0.125,0.876,1,"6","Pcif1",-0.751
"Cwc15",0.00222032714840817,-0.952460064106946,0.125,0.876,1,"6","Cwc15",-0.751
"Clk3.1",0.0022583538270546,-1.28905937259033,0.25,0.92,1,"6","Clk3",-0.67
"Ifnar1",0.0022583538270546,-0.367390065994356,0.25,0.92,1,"6","Ifnar1",-0.67
"Eno3.2",0.00226351055395386,-2.24219698083985,0.125,0.735,1,"6","Eno3",-0.61
"Bag6",0.00226600739258259,-0.99342159369311,0.25,0.938,1,"6","Bag6",-0.688
"Egln1",0.002271640675462,-1.56197711307216,0.25,0.956,1,"6","Egln1",-0.706
"Ppic.2",0.00227696897734304,-1.23812911503382,0.75,0.947,1,"6","Ppic",-0.197
"Lpar1",0.00227991949762949,-1.30096271532415,0.125,0.858,1,"6","Lpar1",-0.733
"Igsf10.1",0.00228191260353952,-1.66414351635378,0.125,0.77,1,"6","Igsf10",-0.645
"Tfdp2",0.00228191260353952,-1.50063518786186,0.125,0.77,1,"6","Tfdp2",-0.645
"Cspp1",0.00228404577615563,-1.4737946572419,0.125,0.832,1,"6","Cspp1",-0.707
"Ggcx.2",0.00228404577615563,-1.65382735582179,0.125,0.832,1,"6","Ggcx",-0.707
"Eif1b.1",0.00229909137445028,-0.81403151878136,0.125,0.876,1,"6","Eif1b",-0.751
"Dlg4.1",0.00229909137445028,-0.959580081426192,0.125,0.876,1,"6","Dlg4",-0.751
"Mapre2",0.00229909137445028,-0.965970402135359,0.125,0.876,1,"6","Mapre2",-0.751
"Rhov",0.00231591289402711,3.53074561572717,0.625,0.257,1,"6","Rhov",0.368
"Grina",0.00233013198137195,-1.08110921576352,0.125,0.867,1,"6","Grina",-0.742
"Eif2s3x",0.00233821584109668,-0.824083402865057,0.25,0.92,1,"6","Eif2s3x",-0.67
"1700037H04Rik",0.00236330073226904,-1.54596575662426,0.125,0.77,1,"6","1700037H04Rik",-0.645
"Rars2",0.00236330073226904,-1.48597479225508,0.125,0.77,1,"6","Rars2",-0.645
"Itga5.2",0.0023815849963185,-1.592338700158,0.125,0.761,1,"6","Itga5",-0.636
"Pkp1.5",0.00238954033015788,1.80570586632525,0.875,0.637,1,"6","Pkp1",0.238
"Irs1.1",0.00239204918952895,-1.52517582325871,0.125,0.823,1,"6","Irs1",-0.698
"Bmyc",0.00239858651988064,-1.51545035734006,0.125,0.752,1,"6","Bmyc",-0.627
"Zfp865",0.00241248400875687,-0.846460945696577,0.125,0.867,1,"6","Zfp865",-0.742
"Odf2l",0.00242004478567344,-1.35399944276243,0.125,0.841,1,"6","Odf2l",-0.716
"Atad3a",0.00242713524432332,-1.42519694210494,0.125,0.779,1,"6","Atad3a",-0.654
"Vps39",0.00243647715841904,-1.65405874199297,0,0.619,1,"6","Vps39",-0.619
"Nmd3",0.00243647715841904,-1.70835313078706,0,0.619,1,"6","Nmd3",-0.619
"Gpatch4",0.00243647715841904,-1.57408771024898,0,0.619,1,"6","Gpatch4",-0.619
"Ccdc163",0.00243647715841904,-1.52043647836601,0,0.619,1,"6","Ccdc163",-0.619
"Dmap1",0.00243647715841904,-1.56430384530706,0,0.619,1,"6","Dmap1",-0.619
"Lmbr1",0.00243647715841904,-1.3820390875104,0,0.619,1,"6","Lmbr1",-0.619
"Rfc3",0.00243647715841904,-1.52511754372607,0,0.619,1,"6","Rfc3",-0.619
"Elmod3",0.00243647715841904,-1.28785101378269,0,0.619,1,"6","Elmod3",-0.619
"Foxj2",0.00243647715841904,-1.43682898563242,0,0.619,1,"6","Foxj2",-0.619
"Ppfibp2.1",0.00243647715841904,-1.67276775159361,0,0.619,1,"6","Ppfibp2",-0.619
"Ccnd1.1",0.00243647715841904,-1.5253373951497,0,0.619,1,"6","Ccnd1",-0.619
"Cfap97",0.00243647715841904,-1.52446889065235,0,0.619,1,"6","Cfap97",-0.619
"Gnao1.1",0.00243647715841904,-1.50697609152251,0,0.619,1,"6","Gnao1",-0.619
"Calml4.2",0.00243647715841904,-1.81008718429669,0,0.619,1,"6","Calml4",-0.619
"Amd1",0.00243647715841904,-1.56746785468503,0,0.619,1,"6","Amd1",-0.619
"Tmem199",0.00243647715841904,-1.56438432998725,0,0.619,1,"6","Tmem199",-0.619
