cluster,cell_type,sub_type,notes
0,mes,,unspecified mesenchyme?
1,mes,,contains fibroblasts
2,other,imm,neutrophils
3,other,imm,complement
4,other,neu,ECM-enriched
5,other,vasc,
6,other,erythr,
7,mes,,muscle-related
8,mes,osteogenic,contains osteoblasts
9,other,imm,
