5777.34736204557	3153.74733502271	affipmjf-1
5786.81477503217	3159.4662480963	affjhicm-1
5770.13822615882	3158.51866605337	affjiflp-1
5774.70832372982	3166.5640057808	affjioao-1
5763.5895750641	3158.85734705415	affjmigk-1
5786.36663112689	3167.88796188829	affkdmeg-1
5765.64356422278	3171.94065276087	affkobha-1
5758.49707199312	3171.51282331947	affkppkb-1
5778.59626349569	3172.7080644118	affldbkk-1
5770.50175823762	3174.54868807054	afflngnj-1
5761.94159381738	3175.93864024355	affmjlok-1
5789.11119972656	3178.49444072733	affnahfe-1
5763.32591999186	3180.4074807363	affnedff-1
5768.01886017792	3184.98480739652	affnggam-1
5778.9600544989	3185.20611426518	affnomek-1
5765.12259591699	3191.85466342443	affoeinm-1
5774.39240705656	3195.13127698513	affogpok-1
5758.99901801569	3196.25160916667	affpdjhe-1
5769.43549720479	3201.6485832557	affpnfla-1
5781.46835780728	3203.32202650012	affpobip-1
5766.50665445815	3207.44368720452	affpoejg-1
5757.78065883163	3206.83363403295	affpoljn-1
5760.52832375387	3211.45560732328	afgacfak-1
5771.92815856513	3209.91116077099	afgafpfc-1
5763.17175362888	3212.98713134877	afgaljhf-1
5788.58045184595	3211.95577322869	afgambah-1
5760.599521471	3217.66021391652	afgaojhg-1
5767.73665440473	3217.28687219146	afgaolfa-1
5776.2979868107	3217.50029952953	afgbbiom-1
5760.01566724185	3225.2848873253	afgbcngn-1
5786.46853564155	3223.57682292457	afgbdhnj-1
5767.61468812783	3227.68391321684	afgbdjde-1
5790.20015244249	3229.53474433568	afgbhoga-1
5777.33295154575	3228.30065565258	afgbjkme-1
5788.47098253875	3233.67202226715	afgcghfa-1
5763.91114146391	3236.12521533578	afgcjjgm-1
5779.02648654915	3237.35248893632	afgdeebh-1
5779.03084277534	3242.84932133821	afgdjoad-1
5758.1532663955	3242.1390096896	afgdkikm-1
5763.91956128133	3245.73491053195	afgdnanf-1
5770.72313356286	3245.69515194704	afgeabop-1
5782.21040797107	3248.30729281165	afgembmm-1
5775.29441954703	3251.87436890991	afgfkacp-1
5761.82764271163	3251.60352736902	afgflgga-1
5773.60648614273	3258.65371503194	afgfnfke-1
5764.07212138377	3259.70677969281	afggedcf-1
5789.38976449297	3260.68842050768	afggeogj-1
5770.004572465	3265.6307024831	afghofea-1
5782.17929471059	3267.09074153628	afgiajol-1
5760.89046527749	3270.01528764092	afginioo-1
5778.84826039822	3274.36796364856	afgioaej-1
5768.12225490487	3277.74815474477	afgjbhle-1
5782.31134677595	3280.25560468358	afgjghoa-1
5760.621066007	3286.30586865624	afgjgjef-1
5765.37979593951	3283.71445936065	afgjmkad-1
5770.39276381936	3284.55646435757	afgjpmga-1
5775.18559929346	3286.98933174338	afgkcand-1
5766.91831206036	3288.71595579314	afglddoh-1
5786.40186208721	3291.18649326102	afglfmig-1
5766.3932482904	3293.85047384908	afgmdigg-1
