"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"1",4.67644869769084e-135,8.34704904555259,0.218,0.003,6.53533705502295e-131,"0","Gm43291",0.215
"2",4.39731412918109e-91,8.09304763589945,0.142,0.001,6.14524649553057e-87,"0","Gm12057",0.141
"3",1.33680363291128e-79,7.90336613797919,0.128,0.001,1.86818307699351e-75,"0","Gm525",0.127
"4",0,7.787823204509,0.587,0.007,0,"0","Vpreb2",0.58
"5",2.79476812739564e-156,7.56416221541269,0.254,0.004,3.90568845803541e-152,"0","Smtnl2",0.25
"6",5.98299083096388e-66,7.55598403185617,0.109,0.002,8.36122968627203e-62,"0","Speer2",0.107
"7",5.28348003577165e-29,7.55584894180036,0.043,0,7.38366334999088e-25,"0","Fmn2",0.043
"8",0,7.40197909494955,0.98,0.089,0,"0","Vpreb3",0.891
"9",2.91754058394721e-156,7.34531464985226,0.244,0.002,4.07726296606623e-152,"0","Crhbp",0.242
"10",0,7.33589427193977,0.816,0.075,0,"0","Vpreb1",0.741
"11",4.58197557599547e-33,7.29357799435312,0.05,0,6.40331086745367e-29,"0","Tnnt2",0.05
"12",1.04520577052686e-21,7.25297819258715,0.032,0,1.46067506431129e-17,"0","1700072O05Rik",0.032
"13",1.49300804021851e-46,7.24357980451454,0.073,0,2.08647873620537e-42,"0","Gm15406",0.073
"14",0,7.22099518825876,0.814,0.08,0,"0","Igll1",0.734
"15",2.60961564105752e-171,7.1321829690179,0.274,0.003,3.64693785837789e-167,"0","Gm30948",0.271
"16",6.47260671145335e-187,7.11539565699747,0.3,0.005,9.04546787925606e-183,"0","Arpp21",0.295
"17",1.80741893445486e-73,7.05195003717467,0.121,0.002,2.52586796090067e-69,"0","Slc12a3",0.119
"18",0,7.04206787790407,0.569,0.008,0,"0","Gm37065",0.561
"19",2.08387813433623e-82,6.94158251663991,0.136,0.002,2.91221969273488e-78,"0","Rd3l",0.134
"20",0,6.90083520528097,0.672,0.01,0,"0","Pax5",0.662
"21",0,6.87376203084051,0.999,0.094,0,"0","Cd79a",0.905
"22",1.12896036156341e-107,6.85726571418895,0.174,0.002,1.57772210528487e-103,"0","Capsl",0.172
"23",0,6.81392146931568,0.744,0.026,0,"0","Bfsp2",0.718
"24",0,6.78465801180386,0.587,0.027,0,"0","Dntt",0.56
"25",5.33317340786722e-27,6.77567493815748,0.042,0,7.45310983749444e-23,"0","Gm595",0.042
"26",0,6.7601397652747,0.486,0.01,0,"0","Rag1",0.476
"27",0,6.60320087832669,0.846,0.022,0,"0","Pou2af1",0.824
"28",1.70456902697663e-40,6.60171124798387,0.065,0.001,2.38213521519984e-36,"0","P2rx3",0.064
"29",5.07505932094888e-78,6.52892854787801,0.137,0.004,7.09239540102606e-74,"0","Fcrl6",0.133
"30",2.25327086963608e-25,6.43503795239852,0.039,0,3.14894604031642e-21,"0","Pinlyp",0.039
"31",0,6.42549219404116,0.985,0.06,0,"0","Mzb1",0.925
"32",2.23749638906604e-42,6.36248895301726,0.071,0.001,3.12690120371979e-38,"0","Dgkeos",0.07
"33",8.21361709065463e-51,6.31728516337528,0.083,0.001,1.14785298841898e-46,"0","Tmprss3",0.082
"34",1.60914132461787e-20,6.31711024993469,0.032,0,2.24877500115348e-16,"0","4930426D05Rik",0.032
"35",8.74120595441107e-114,6.26680048566105,0.188,0.003,1.22158353212895e-109,"0","Drc7",0.185
"36",7.90485487007297e-103,6.1612626571411,0.178,0.005,1.1047034680927e-98,"0","Ttll11",0.173
"37",4.62893357774602e-168,6.14677475627398,0.281,0.006,6.46893467490007e-164,"0","Rag2",0.275
"38",4.18040060886543e-67,6.10428697154587,0.115,0.002,5.84210985088944e-63,"0","Cxcr5",0.113
"39",1.12801849543592e-222,6.10408494454783,0.378,0.012,1.5764058473717e-218,"0","1700048O20Rik",0.366
"40",6.93635494865678e-33,6.09148762400968,0.055,0.001,9.69355604074785e-29,"0","Hes5",0.054
"41",0,6.05044866262881,0.739,0.027,0,"0","Cd19",0.712
"42",3.5924725693979e-11,5.99361470575279,0.015,0,5.02048041573357e-07,"0","Syndig1l",0.015
"43",3.1496742141621e-15,5.99068823862036,0.022,0,4.40166971429154e-11,"0","Galnt14",0.022
"44",1.03472334419514e-231,5.98675766651761,0.388,0.011,1.4460258735127e-227,"0","Fam129c",0.377
"45",2.33884022324122e-10,5.98314151594181,0.014,0,3.26852921197961e-06,"0","Gh",0.014
"46",2.21833215395204e-92,5.96286368889696,0.158,0.003,3.10011918514797e-88,"0","Mei4",0.155
"47",0,5.94124440632286,0.989,0.14,0,"0","Cd79b",0.849
"48",3.51107954122039e-262,5.91378465699079,0.436,0.013,4.90673365885549e-258,"0","Sit1",0.423
"49",5.53024170698659e-12,5.90023944035645,0.017,0,7.72851278551376e-08,"0","Gjc2",0.017
"50",3.5924725693979e-11,5.89540504363662,0.015,0,5.02048041573357e-07,"0","Klhl14",0.015
"51",7.72679062723544e-241,9.05377569131656,0.355,0.002,1.07981899015615e-236,"1","Itgbl1",0.353
"52",2.89015114216072e-151,8.07405584392209,0.228,0.001,4.03898622116961e-147,"1","Kcnk2",0.227
"53",0,7.84768537684228,0.658,0.006,0,"1","Prrx2",0.652
"54",1.39265166080102e-134,7.82207135035334,0.206,0.001,1.94623069596942e-130,"1","Nog",0.205
"55",0,7.8198856790754,0.64,0.015,0,"1","1500015O10Rik",0.625
"56",1.26775404926525e-26,7.78165915951534,0.038,0,1.77168628384818e-22,"1","Agtr2",0.038
"57",1.38507563053599e-48,7.72758858585836,0.073,0,1.93564319367405e-44,"1","Pthlh",0.073
"58",3.36341036376692e-40,7.72708588500536,0.059,0,4.70036598336427e-36,"1","Slc7a10",0.059
"59",2.97542260627842e-114,7.71902405123655,0.176,0.001,4.15815309227409e-110,"1","Pdzrn4",0.175
"60",0,7.70533835092883,0.533,0.006,0,"1","Col8a2",0.527
"61",1.97732639543954e-56,7.60715597673343,0.085,0,2.76331363762675e-52,"1","Ism1",0.085
"62",9.36157684783474e-148,7.54246095491414,0.226,0.002,1.3082803644849e-143,"1","3632451O06Rik",0.224
"63",0,7.53681957432403,0.609,0.049,0,"1","Sfrp2",0.56
"64",0,7.45564573614458,0.912,0.074,0,"1","Ptn",0.838
"65",2.4156370598152e-35,7.3991928450652,0.051,0,3.37585279109174e-31,"1","Wfikkn2",0.051
"66",3.68745547138934e-104,7.38933351618173,0.162,0.001,5.1532190212666e-100,"1","En1",0.161
"67",2.10368207863741e-33,7.38337752519924,0.048,0,2.93989570489578e-29,"1","Pvalb",0.048
"68",2.72548421380696e-61,7.38322104702459,0.093,0,3.80886418879523e-57,"1","Ntn5",0.093
"69",1.09386636928957e-153,7.36498706188316,0.235,0.002,1.52867825108217e-149,"1","Tspan11",0.233
"70",0,7.33869821248415,0.599,0.01,0,"1","Smoc2",0.589
"71",0,7.27157948449019,0.916,0.031,0,"1","Clec11a",0.885
"72",0,7.25553514090503,0.703,0.019,0,"1","Cpz",0.684
"73",3.13107593991369e-273,7.22747187863156,0.414,0.005,4.37567862602938e-269,"1","Nrk",0.409
"74",0,7.20766300106909,0.75,0.041,0,"1","Mfap4",0.709
"75",1.07587736012414e-257,7.20751632859465,0.388,0.003,1.50353861077348e-253,"1","Srpx2",0.385
"76",1.36540314383431e-27,7.20482296931626,0.04,0,1.90815089350845e-23,"1","Hs3st3a1",0.04
"77",5.15063501880502e-59,7.18592313187778,0.091,0.001,7.19801243878002e-55,"1","Hhip",0.09
"78",1.76379903221221e-74,7.17521867819046,0.116,0.001,2.46490914751656e-70,"1","Angptl1",0.115
"79",2.1983798257187e-81,7.17072786817466,0.279,0.05,3.07223580644188e-77,"1","Bglap2",0.229
"80",2.63017849177005e-105,7.11605917368331,0.162,0.001,3.67567444224864e-101,"1","Kcns1",0.161
"81",4.32761177553923e-258,7.11129051958825,0.429,0.013,6.04783745631607e-254,"1","Wif1",0.416
"82",1.71649046750563e-75,7.09692851995833,0.117,0.001,2.39879542833912e-71,"1","Scube2",0.116
"83",3.88468460225635e-115,7.08718044862519,0.188,0.003,5.42884673165325e-111,"1","Cilp2",0.185
"84",0,7.04913241865449,0.709,0.032,0,"1","Matn4",0.677
"85",2.89707130266311e-26,7.04802510591324,0.04,0,4.0486571454717e-22,"1","Medag",0.04
"86",2.32744873462539e-117,7.02359180348909,0.179,0.001,3.25260960663899e-113,"1","Bnc2",0.178
"87",1.32846861506918e-36,7.00447067435793,0.057,0.001,1.85653488955917e-32,"1","Col22a1",0.056
"88",1.55776543037505e-50,6.98815625613179,0.076,0,2.17697718894913e-46,"1","Lmx1b",0.076
"89",2.09925817599415e-242,6.97676334335402,0.37,0.004,2.93371330095182e-238,"1","Pdgfra",0.366
"90",4.57626596144742e-178,6.95390281752254,0.273,0.002,6.39533168112278e-174,"1","Foxd1",0.271
"91",6.97055548446546e-53,6.94951223167214,0.355,0.125,9.74135128954048e-49,"1","Bglap",0.23
"92",1.34147969791731e-37,6.94928717769215,0.059,0.001,1.87471787783944e-33,"1","Tmem30b",0.058
"93",0,6.94765029489946,0.862,0.028,0,"1","Kazald1",0.834
"94",6.1342959463947e-131,6.94298021984361,0.204,0.002,8.57267858508659e-127,"1","Cntfr",0.202
"95",2.38028706267126e-88,6.93073910072825,0.137,0.001,3.32645117008309e-84,"1","Prdm6",0.136
"96",2.50051112031854e-192,6.9249090087751,0.374,0.022,3.49446429064516e-188,"1","Apod",0.352
"97",0,6.92016892309075,0.91,0.096,0,"1","Dcn",0.814
"98",5.54735745391684e-35,6.89123460079256,0.053,0,7.75243204184878e-31,"1","1700023F06Rik",0.053
"99",1.09134713175662e-24,6.88896878295762,0.035,0,1.52515761662987e-20,"1","Efemp1",0.035
"100",6.78386821276579e-162,6.86587651610568,0.257,0.004,9.48045582734019e-158,"1","Fam180a",0.253
"101",4.78625320749903e-29,8.02309142161662,0.04,0,6.6887888574799e-25,"2","Arhgef37",0.04
"102",9.61708372541266e-18,6.88478169567813,0.026,0,1.34398745062642e-13,"2","Rnase2b",0.026
"103",2.76658016576144e-133,6.25297762649186,0.257,0.012,3.86629578165161e-129,"2","Apoc1",0.245
"104",1.01462183891038e-79,5.79789963323813,0.143,0.005,1.41793401987726e-75,"2","Ms4a8a",0.138
"105",0,5.75581609098317,0.788,0.035,0,"2","Sirpb1c",0.753
"106",2.1983507017262e-78,5.38461130078946,0.143,0.005,3.07219510566236e-74,"2","Sirpb1a",0.138
"107",0,5.26182604075861,0.675,0.042,0,"2","Gm9733",0.633
"108",4.42011871938899e-23,5.2267956067856,0.04,0.001,6.17711591034612e-19,"2","Klhl41",0.039
"109",5.81660285979788e-175,5.16194282136346,0.352,0.02,8.12870249656754e-171,"2","Adgre4",0.332
"110",0,5.116312335826,0.737,0.059,0,"2","F10",0.678
"111",1.77925635894826e-70,4.91376796124431,0.147,0.008,2.4865107616302e-66,"2","Ly6i",0.139
"112",2.6349075120815e-163,4.89398282561299,0.323,0.017,3.6822832481339e-159,"2","Gm5150",0.306
"113",1.50376626975652e-247,4.88992551536467,0.543,0.046,2.10151336198473e-243,"2","Serpinb10",0.497
"114",2.08365786648423e-12,4.82645152900127,0.022,0.001,2.91191186841172e-08,"2","Gm28192",0.021
"115",9.00326309442661e-268,4.76587347790483,0.547,0.037,1.25820601744612e-263,"2","Klra2",0.51
"116",1.64183166729147e-284,4.68304021852327,0.566,0.036,2.29445975503983e-280,"2","Sirpb1b",0.53
"117",1.90010107886145e-85,4.45994730381126,0.216,0.02,2.65539125770887e-81,"2","Nxpe4",0.196
"118",3.49492061591886e-17,4.40541331938831,0.04,0.003,4.88415156074661e-13,"2","Crybb1",0.037
"119",4.15354382171353e-11,4.40037264008632,0.02,0.001,5.80457749084466e-07,"2","Cyp2ab1",0.019
"120",6.37228946821604e-71,4.38367893948729,0.178,0.016,8.90527453183192e-67,"2","Treml4",0.162
"121",0,4.3148613405926,0.794,0.082,0,"2","Clec4a3",0.712
"122",3.84550031691145e-303,4.14080770701793,0.739,0.089,5.37408669288375e-299,"2","Pla2g7",0.65
"123",0,4.13663237181809,0.842,0.09,0,"2","Ccr2",0.752
"124",1.60651705415386e-25,4.10130179711652,0.061,0.005,2.24510758318002e-21,"2","Mfsd7a",0.056
"125",0,4.09347730617614,0.923,0.104,0,"2","Wfdc17",0.819
"126",2.17608055315739e-62,4.03713733503864,0.164,0.016,3.04107257303745e-58,"2","Ace",0.148
"127",7.25515519805469e-09,4.02073864780614,0.03,0.005,0.000101390793892814,"2","RP24-330M21.1",0.025
"128",1.95587852793319e-24,4.00665188923597,0.051,0.003,2.73334024278663e-20,"2","Wfdc18",0.048
"129",5.64333272181334e-78,3.99559865693658,0.214,0.023,7.88655747873415e-74,"2","Gpr35",0.191
"130",3.23625152060424e-68,3.94739397543328,0.162,0.013,4.52266150004443e-64,"2","Skint3",0.149
"131",7.18838584049837e-14,3.93240321856356,0.04,0.005,1.00457692120965e-09,"2","Lilra5",0.035
"132",1.53610183737902e-103,3.92849355009899,0.307,0.039,2.14670231773718e-99,"2","Mnda",0.268
"133",3.41514776954187e-162,3.91995697972488,0.45,0.053,4.77266900793476e-158,"2","Ear2",0.397
"134",3.69177980017631e-138,3.88830125776478,0.36,0.037,5.15926227074639e-134,"2","Msr1",0.323
"135",2.45620668504441e-279,3.87764368042828,0.743,0.109,3.43254884234956e-275,"2","Emilin2",0.634
"136",2.02778497271118e-131,3.8465129526127,0.354,0.039,2.83382949936388e-127,"2","Gm6377",0.315
"137",8.52034368481002e-292,3.80748577929934,0.719,0.082,1.1907180299522e-287,"2","Clec4a1",0.637
"138",9.08537604469711e-47,3.78967163782333,0.107,0.008,1.26968130224642e-42,"2","Serpinb2",0.099
"139",5.71267694320872e-57,3.74541552855798,0.18,0.024,7.98346602813418e-53,"2","Sh2d1b1",0.156
"140",0,3.7411542993598,0.986,0.188,0,"2","Ccl6",0.798
"141",6.75875435082896e-94,3.72718389084371,0.281,0.036,9.44535920528347e-90,"2","AI839979",0.245
"142",0,3.72391349251001,1,0.295,0,"2","Ctss",0.705
"143",3.94533817629487e-58,3.69201680334073,0.198,0.03,5.51361010137208e-54,"2","Mefv",0.168
"144",2.6799852525092e-10,3.68793028576928,0.034,0.005,3.74527939038161e-06,"2","Dppa3",0.029
"145",3.00149068109278e-61,3.68122985201855,0.216,0.034,4.19458322682716e-57,"2","G430095P16Rik",0.182
"146",0,3.67096393935052,0.935,0.194,0,"2","Tlr2",0.741
"147",0,3.66307659441378,0.844,0.117,0,"2","Mpeg1",0.727
"148",1.29340374845454e-299,3.65314035472519,0.927,0.218,1.80753173846522e-295,"2","Cd14",0.709
"149",2.73655019840541e-33,3.63683687090259,0.109,0.015,3.82432890227156e-29,"2","4930455G09Rik",0.094
"150",8.49960800553187e-172,3.6307535630587,0.515,0.076,1.18782021877308e-167,"2","Ccdc109b",0.439
"151",7.7486760131391e-28,7.8610746212172,0.037,0,1.08287747283619e-23,"3","Slc22a20",0.037
"152",1.79047000480505e-40,7.6875276548558,0.065,0.001,2.50218183171506e-36,"3","Ifit1bl2",0.064
"153",2.86300348874937e-264,7.1479607006626,0.977,0.397,4.00104737552724e-260,"3","Retnlg",0.58
"154",0,6.78672644176702,0.789,0.026,0,"3","Ly6g",0.763
"155",0,6.53675679824685,0.928,0.199,0,"3","2010005H15Rik",0.729
"156",0,6.46303414606492,0.817,0.057,0,"3","Gm5416",0.76
